video_id,author,published_at,updated_at,like_count,text,Comments
LgWDRTpwjXI,@SKHAMJA7,2024-10-18T01:36:59Z,2024-10-18T01:36:59Z,0,❤❤❤❤❤আপনাদের জন্যে ই আজ দেশ মুক্ত🥰🥰❣️❣️❣️❣️,❤❤❤❤❤This country is free for you today
LgWDRTpwjXI,@mdaltafhossainbiswas1657,2024-09-19T03:43:02Z,2024-09-19T03:43:02Z,0,Tomro gem khelso,Tomro gem khelso
LgWDRTpwjXI,@zulfikarali3243,2024-08-10T20:54:24Z,2024-08-10T20:54:24Z,0,"বিশেষ উদ্দেশ্যে, আপনাদের বরাবরে ছিল, এখনও আছে, অদুর ভবিষ্যৎতেও<br>থাকবে, কারন দেশের মানুষ আপনাদের<br>খুব ভাল করেই চিনে রেখেছে?","For special purposes, you have always had, still have, and will have in the future, because the people of the country know you very well?"
LgWDRTpwjXI,@nowshintonny159,2024-08-10T07:42:40Z,2024-08-10T07:42:40Z,0,আইনজীবি নাম কি,What is the name of the lawyer?
LgWDRTpwjXI,@monjurulkarim969,2024-08-08T21:28:14Z,2024-08-08T21:28:14Z,0,Who&#39;s here after Nani escaped,Who's here after Nani escaped
LgWDRTpwjXI,@RockyRayhan,2024-08-07T23:22:04Z,2024-08-07T23:22:04Z,0,barrister sir  num jodi janaten,barrister sir num jodi janaten
LgWDRTpwjXI,@UmamahMaisha,2024-08-05T16:48:53Z,2024-08-05T16:48:53Z,0,Unar nam ki,Unar nam ki
LgWDRTpwjXI,@nabihanabiha8966,2024-08-05T14:19:23Z,2024-08-05T14:19:23Z,0,Salut apnake apni real hiro,Salut apnake apni real hiro
LgWDRTpwjXI,@sajedasa9239,2024-08-03T22:47:01Z,2024-08-03T22:47:01Z,1,❤❤❤❤❤🤔🤔😭😭😭😭🤭😂,❤❤❤❤❤🤔🤔😭😭😭🤭😂
LgWDRTpwjXI,@habibulla5068,2024-08-02T18:15:47Z,2024-08-02T18:15:47Z,0,"আইন কোথায় ওছনি,শান্তি করেন","Where the law is not, make peace"
